1:IF #|45.5,#|#|#|64.5,#|#,71.5|#,61.5| THEN  om With Confidence=1.0 and Coverage=0.9444444
1:IF #|56.5,#|#|#|63.5,#|#|#,61.5| THEN  om With Confidence=1.0 and Coverage=0.7777778
2:IF 51.5,78.5|#|#|#|71.5,#|#|#| THEN  om With Confidence=1.0 and Coverage=0.7222222
3:IF 51.5,68.5|#|#|#|#|54.5,60.0|#| THEN  omL With Confidence=1.0 and Coverage=0.6
4:IF 84.5,#|#|#|#|#|#|28.5,36.5| THEN  imS With Confidence=1.0 and Coverage=0.5
5:IF 74.5,#|#|#|#|#|7.5,47.5|#| THEN  imL With Confidence=1.0 and Coverage=0.5
6:IF 74.5,#|#|#|#|#|72.5,#|#| THEN  imU With Confidence=1.0 and Coverage=0.41935483
7:IF #|#,55.5|#|#|#|28.5,38.5|#| THEN  cp With Confidence=1.0 and Coverage=0.35658914
8:IF 9.0,57.5|#|#|#|#|74.5,#|#| THEN  im With Confidence=1.0 and Coverage=0.2753623
9:IF #|79.5,#|#|#|#,53.5|#|#| THEN  pp With Confidence=1.0 and Coverage=0.25531915
10:IF 78.5,82.0|#|#|#|#|#|#| THEN  imU With Confidence=1.0 and Coverage=0.16129032
11:IF #|#|#|#|#|#|88.5,#| THEN  im With Confidence=1.0 and Coverage=0.072463766
12:IF #|#,2.0|#|#|#|#|#| THEN  pp With Confidence=1.0 and Coverage=0.021276595
13:IF #,60.0|#,58.5|#|#|#|10.0,45.5|#| THEN  cp With Confidence=0.9809524 and Coverage=0.79844964
14:IF #,60.0|#,58.5|#|#|#|10.0,58.5|#| THEN  cp With Confidence=0.9741379 and Coverage=0.875969
15:IF #,60.0|#,58.5|#|#|#,58.5|1.5,58.5|#,66.5| THEN  cp With Confidence=0.9677419 and Coverage=0.9302326
16:IF 9.0,57.5|#|#|#|#|57.5,#|#| THEN  im With Confidence=0.9655172 and Coverage=0.4057971
17:IF #|58.5,#|#|#|#,43.5|#|#| THEN  pp With Confidence=0.96 and Coverage=0.5106383
18:IF #|#|#|#|#|10.0,33.5|#| THEN  cp With Confidence=0.9558824 and Coverage=0.503876
19:IF #|#|#|#|#|10.0,35.5|#| THEN  cp With Confidence=0.9529412 and Coverage=0.627907
20:IF #,57.5|#,58.5|#|#|#|#,56.5|#| THEN  cp With Confidence=0.9461538 and Coverage=0.95348835
21:IF #|58.5,#|#|#|#,58.5|1.5,57.5|#| THEN  pp With Confidence=0.9444444 and Coverage=0.7234042
22:IF 9.0,61.5|#|#|#|#|56.5,#|#| THEN  im With Confidence=0.93939394 and Coverage=0.44927537
23:IF #,60.0|#,58.5|#|#|#|#,56.5|#| THEN  cp With Confidence=0.93233085 and Coverage=0.9612403
24:IF #,57.5|#,67.5|#|#|#|55.5,#|#| THEN  im With Confidence=0.9318182 and Coverage=0.5942029
25:IF #,61.5|#,58.5|#|#|#|#,57.5|#| THEN  cp With Confidence=0.919708 and Coverage=0.9767442
26:IF 61.5,75.5|#| 48.0,#| 5.0,#|#,58.5|#,57.5|#,62.5| THEN  pp With Confidence=0.902439 and Coverage=0.78723407
27:IF #,68.5|#,58.5|#|#|#|#,55.5|#,61.5| THEN  cp With Confidence=0.90140843 and Coverage=0.99224806
28:IF 71.5,#|#|#|#|#|72.5,#|#| THEN  imU With Confidence=0.88235295 and Coverage=0.48387095
29:IF #,66.5|#,58.5|#|#|#|1.5,55.5|#| THEN  cp With Confidence=0.8819444 and Coverage=0.9844961
30:IF 61.5,74.5|#|#|#|#,50.0|#|#| THEN  pp With Confidence=0.8717949 and Coverage=0.7234042
31:IF #,63.5|#,65.5|#|#|#|57.5,#|#| THEN  im With Confidence=0.8490566 and Coverage=0.65217394
32:IF #|#|#|#|#|66.5,71.5|#| THEN  im With Confidence=0.84615386 and Coverage=0.1594203
33:IF #|56.5,#|#|#|#,58.5|#|#,57.0| THEN  pp With Confidence=0.84444445 and Coverage=0.80851066
34:IF #|#|#|#|#|66.5,72.5|#| THEN  im With Confidence=0.8235294 and Coverage=0.20289855
35:IF #,66.5|#|#|#|#|57.5,#|#| THEN  im With Confidence=0.8196721 and Coverage=0.7246377
36:IF #|#|#|#|#|65.5,72.5|#| THEN  im With Confidence=0.8 and Coverage=0.23188406
37:IF #,70.0|#|#|#|#|60.0,#|#| THEN  im With Confidence=0.7846154 and Coverage=0.73913044
38:IF #|#|#|#|#|64.5,72.5|#| THEN  im With Confidence=0.7826087 and Coverage=0.26086956
39:IF 75.5,82.0|#|#|#|#|#|#| THEN  imU With Confidence=0.7692308 and Coverage=0.32258064
40:IF 56.5,75.5|#|#|#|#,52.5|#|#,57.0| THEN  pp With Confidence=0.75 and Coverage=0.82978725
41:IF #|#|#|#|#|#|62.5,#| THEN  im With Confidence=0.64634144 and Coverage=0.76811594

1:IF 62.5,72.5|#|#, 1.0|#|#|#|#| THEN  omL With Confidence=1.0 and Coverage=0.8
2:IF #|55.5,#|#|#|63.5,#|#|#,61.5| THEN  om With Confidence=1.0 and Coverage=0.7222222
3:IF 83.5,#|#|#|#|#|33.5,58.5|#| THEN  imS With Confidence=1.0 and Coverage=0.5
4:IF 62.5,63.5|#|#|#|53.5,55.5|#|#| THEN  imS With Confidence=1.0 and Coverage=0.5
5:IF #|#|#, 1.0|#|#|#|77.5,#| THEN  imL With Confidence=1.0 and Coverage=0.5
6:IF #|#|#, 1.0|#|#|#,53.5|#| THEN  imL With Confidence=1.0 and Coverage=0.5
7:IF #,56.5|#,38.5|#|#|#|#,55.5|#| THEN  cp With Confidence=1.0 and Coverage=0.49612403
8:IF 56.5,76.5|57.5,#|#|#|#,44.5|#,67.5|#| THEN  pp With Confidence=1.0 and Coverage=0.44680852
9:IF #|#|#|#|#|#|88.5,#| THEN  im With Confidence=1.0 and Coverage=0.08695652
10:IF #|#,2.0|#|#|#|#|#| THEN  pp With Confidence=1.0 and Coverage=0.021276595
11:IF #|#|#|#|#|10.0,28.5|#| THEN  cp With Confidence=0.97959185 and Coverage=0.37209302
12:IF #,55.5|#,57.5|#|#|#|10.0,56.5|#| THEN  cp With Confidence=0.97321427 and Coverage=0.8449612
13:IF #,55.5|#,57.5|#|#|#,63.5|#,57.5|#,62.5| THEN  cp With Confidence=0.96666664 and Coverage=0.8992248
14:IF #,55.5|#,57.5|#|#|#|#,55.5|#,62.5| THEN  cp With Confidence=0.9593496 and Coverage=0.9147287
15:IF #,60.0|#,57.5|#|#|#|10.0,58.5|#| THEN  cp With Confidence=0.9576271 and Coverage=0.875969
16:IF 14.0,55.5|#|#|#|#|71.5,#|#| THEN  im With Confidence=0.95652175 and Coverage=0.3188406
17:IF 46.5,76.5|57.5,#|#|#|#,44.5|#|#| THEN  pp With Confidence=0.95454544 and Coverage=0.44680852
18:IF #|57.5,#|#|#|#,44.5|#,68.5|#| THEN  pp With Confidence=0.95454544 and Coverage=0.44680852
19:IF #,62.5|#,57.5|#|#|#|10.0,60.0|#| THEN  cp With Confidence=0.9504132 and Coverage=0.8914729
20:IF #,56.5|#,60.0|#|#|#|58.5,#|#| THEN  im With Confidence=0.94871795 and Coverage=0.5362319
21:IF #|70.0,#|#|#|#,44.5|#|#| THEN  pp With Confidence=0.94736844 and Coverage=0.38297874
22:IF #,55.5|#,57.5|#|#|#|1.5,56.5|#| THEN  cp With Confidence=0.944 and Coverage=0.9147287
23:IF #|57.5,#|#|#|#,63.5|#,67.5|#,56.5| THEN  pp With Confidence=0.94285715 and Coverage=0.70212764
24:IF 48.5,78.5|#|#|#|64.5,#|#|#,56.5| THEN  om With Confidence=0.93333334 and Coverage=0.7777778
25:IF #,55.5|#,67.5|#|#|#|60.0,#|#| THEN  im With Confidence=0.9318182 and Coverage=0.5942029
26:IF #,60.0|#,57.5|#|#|#|1.5,55.5|#| THEN  cp With Confidence=0.92424244 and Coverage=0.9457364
27:IF 56.5,76.5|55.5,#|#|#|#,63.5|#|#,61.5| THEN  pp With Confidence=0.9189189 and Coverage=0.7234042
28:IF #,67.5|#,57.5|#|#|#|#,52.5|#,67.5| THEN  cp With Confidence=0.89361703 and Coverage=0.9767442
29:IF 72.5,#|#|#|#|#|72.5,#|#| THEN  imU With Confidence=0.875 and Coverage=0.4516129
30:IF #,67.5|#,57.5|#|#|#|1.5,55.5|#| THEN  cp With Confidence=0.8639456 and Coverage=0.9844961
31:IF #,61.5|#|#|#|#|57.5,#|#| THEN  im With Confidence=0.8627451 and Coverage=0.6376812
32:IF 51.5,82.0|#|#, 1.0|#|#|#|#| THEN  omL With Confidence=0.8333333 and Coverage=1.0
33:IF #|#|#|#|#|#|83.5,#| THEN  im With Confidence=0.8 and Coverage=0.17391305
34:IF #,73.5|#|#|#|#|61.5,#|#| THEN  im With Confidence=0.7878788 and Coverage=0.7536232
35:IF #,74.5|#|#|#|#|60.0,#|#| THEN  im With Confidence=0.7777778 and Coverage=0.8115942
36:IF #|#|#|#|#|#|68.5,74.5| THEN  im With Confidence=0.77272725 and Coverage=0.24637681
37:IF 56.5,76.5|#| 48.0,#|#|#,64.5|#,57.5|#,61.5| THEN  pp With Confidence=0.74509805 and Coverage=0.80851066
38:IF 77.5,#|#|#|#|#|#|#| THEN  imU With Confidence=0.7368421 and Coverage=0.4516129
39:IF 72.5,#|#|#|#|#|58.5,#|#| THEN  imU With Confidence=0.72 and Coverage=0.58064514

1:IF 46.5,#|#|#|#|71.5,#|#,60.0|#| THEN  om With Confidence=1.0 and Coverage=0.6666667
2:IF #|#|#|#|76.0,#|#|#| THEN  om With Confidence=1.0 and Coverage=0.5
3:IF 78.5,#|#|#|#|#|28.5,56.5|#| THEN  imS With Confidence=1.0 and Coverage=0.5
4:IF 72.5,#|#|#|#|#|45.5,50.0|#| THEN  imL With Confidence=1.0 and Coverage=0.5
5:IF #|45.5,53.5|#|#|#|54.5,56.5|#| THEN  omL With Confidence=1.0 and Coverage=0.5
6:IF #|47.5,53.5|#|#|#|#|78.5,83.5| THEN  imS With Confidence=1.0 and Coverage=0.5
7:IF 75.5,#|#|#|#|#|72.5,#|#| THEN  imU With Confidence=1.0 and Coverage=0.375
8:IF #,55.5|#|#|#|#|74.5,81.5|#| THEN  im With Confidence=1.0 and Coverage=0.24637681
9:IF #|#, 1.0|#|#|#|#|#| THEN  pp With Confidence=1.0 and Coverage=0.021276595
10:IF #|#|#|#|#|#, 2.0|#| THEN  cp With Confidence=1.0 and Coverage=0.015503876
11:IF #,55.5|#,57.5|#|#|#|11.5,38.5|#| THEN  cp With Confidence=0.9885057 and Coverage=0.6666667
12:IF #,55.5|#,57.5|#|#|#|11.5,57.5|#| THEN  cp With Confidence=0.97321427 and Coverage=0.8449612
13:IF #,56.5|#,60.0|#|#|#|57.5,81.5|#| THEN  im With Confidence=0.96666664 and Coverage=0.42028984
14:IF #|57.5,#|#|#|#,63.5|35.5,55.5|#| THEN  pp With Confidence=0.9655172 and Coverage=0.59574467
15:IF #|#|#|#|#|11.5,31.5|#| THEN  cp With Confidence=0.9649123 and Coverage=0.42635658
16:IF #,55.5|#,57.5|#|#|#,66.5|#,60.0|#| THEN  cp With Confidence=0.9586777 and Coverage=0.8992248
17:IF #,55.5|#,57.5|#|#|#|#,56.5|#| THEN  cp With Confidence=0.9516129 and Coverage=0.9147287
18:IF #|#|#|#|#|11.5,35.5|#| THEN  cp With Confidence=0.9425287 and Coverage=0.6356589
19:IF #,56.5|#,69.5|#|#|#|55.5,81.5|#| THEN  im With Confidence=0.9411765 and Coverage=0.46376812
20:IF 35.5,#|57.5,#|#|#|#,66.5|#,57.5|#| THEN  pp With Confidence=0.9375 and Coverage=0.63829786
21:IF #|56.5,#|#|#|#,63.5|35.5,55.5|#| THEN  pp With Confidence=0.9354839 and Coverage=0.61702126
22:IF 50.0,#|#|#|#|67.5,#|#,60.0|#| THEN  om With Confidence=0.9285714 and Coverage=0.7222222
23:IF #,56.5|#,60.0|#|#|#|55.5,#|#| THEN  im With Confidence=0.925 and Coverage=0.5362319
24:IF #,55.5|#,67.5|#|#|#|56.5,#|#| THEN  im With Confidence=0.9148936 and Coverage=0.6231884
25:IF #|#|#|#|#|#|87.5,#| THEN  im With Confidence=0.9 and Coverage=0.13043478
26:IF #|#|#|#|#|11.5,37.5|#| THEN  cp With Confidence=0.8989899 and Coverage=0.68992245
27:IF #,58.5|#,69.5|#|#|#|56.5,#|#| THEN  im With Confidence=0.8979592 and Coverage=0.6376812
28:IF #|#|#|#|#|11.5,38.5|#| THEN  cp With Confidence=0.8952381 and Coverage=0.72868216
29:IF #,57.5|#|#|#|#|60.0,#|#| THEN  im With Confidence=0.89361703 and Coverage=0.6086956
30:IF #,62.5|#,67.5|#|#|#|55.5,#|#| THEN  im With Confidence=0.88461536 and Coverage=0.6666667
31:IF 36.5,#|#|#|#|65.5,#|#,60.0|#| THEN  om With Confidence=0.875 and Coverage=0.7777778
32:IF 70.0,#|#|#|#|#|72.5,#|#| THEN  imU With Confidence=0.875 and Coverage=0.4375
33:IF 40.0,#|56.5,#|#|#|#,67.5|#,58.5|#| THEN  pp With Confidence=0.8684211 and Coverage=0.70212764
34:IF #,65.5|#,60.0|#|#|#|#,56.5|#| THEN  cp With Confidence=0.8581081 and Coverage=0.9844961
35:IF #,63.5|#,67.5|#|#|#|56.5,#|#| THEN  im With Confidence=0.84745765 and Coverage=0.7246377
36:IF 75.5,#|#|#|#|#|55.5,#|#| THEN  imU With Confidence=0.84210527 and Coverage=0.5
37:IF 58.5,74.5|#|#|#|#,47.5|#|#| THEN  pp With Confidence=0.8378378 and Coverage=0.65957445
38:IF #,63.5|#,75.5|#|#|#|56.5,#|#| THEN  im With Confidence=0.8360656 and Coverage=0.73913044
39:IF #,64.5|#,75.5|#|#|#|55.5,#|#| THEN  im With Confidence=0.8125 and Coverage=0.7536232
40:IF #|#|#|#|#|#|78.5,#| THEN  im With Confidence=0.75 and Coverage=0.39130434
41:IF 65.5,#|#|#|#|#|#|61.5,83.5| THEN  imU With Confidence=0.73913044 and Coverage=0.53125
42:IF #|#,69.5|#|#|#|60.0,#|#| THEN  im With Confidence=0.65909094 and Coverage=0.8405797

